Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Gastrodon,97,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Ferrothorn,94.6,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Ferrothorn (Shadow),92.5,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Jellicent,91.7,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
Togedemaru,91.6,777,electric,steel,132.1,105.6,121,1688198,26,1495,Thunder Shock,Fell Stinger,Wild Charge,4,5,3,50000
Poliwrath,90.7,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,9,8,3,50000
Scizor (Shadow),89.9,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Fury Cutter,Night Slash,Trailblaze,9,12,5,75000
Registeel,89.3,379,steel,none,95.5,189.6,130,2353244,23,1499,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Scizor,89.3,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Fury Cutter,Night Slash,Trailblaze,9,12,5,75000
Perrserker,87.8,863,steel,none,128.9,114.6,117,1728225,23.5,1493,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Whiscash (Shadow),87.6,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Forretress,87.5,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Rock Tomb,Earthquake,17,22,5,75000
Lanturn,86.8,171,water,electric,104.8,104.8,194,2131348,27,1496,Spark,Surf,Thunderbolt,7,8,3,50000
Lucario,86.5,448,fighting,steel,145.8,95.6,110,1532231,20.5,1494,Force Palm,Thunder Punch,Shadow Ball,4,6,5,75000
Quagsire (Shadow),86.5,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Tauros (Aqua),86.5,128,fighting,water,127.8,123.1,111,1746363,20,1494,Double Kick,Aqua Jet,Trailblaze,4,4,3,50000
Poliwrath (Shadow),86.4,62,water,fighting,116.5,119.7,138,1924689,22,1500,Counter,Scald,Icy Wind,9,8,3,50000
Steelix,86.4,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Ludicolo,86.3,272,water,grass,117.1,123.7,132,1912593,24,1497,Razor Leaf,Scald,Leaf Storm,13,14,3,50000
Golisopod,85.7,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Aqua Jet,5,5,1,10000
Corviknight,85.4,823,flying,steel,107.6,128.1,151,2082389,23,1498,Sand Attack,Sky Attack,Iron Head,14,13,1,10000
Steelix (Shadow),85.4,208,steel,ground,98.4,185.2,124,2260578,23.5,1493,Thunder Fang,Psychic Fangs,Breaking Swipe,6,6,5,75000
Araquanid,85.2,752,water,bug,97.9,176.1,133,2292389,33.5,1499,Bug Bite,Bubble Beam,Bug Buzz,14,20,3,50000
Melmetal,84.5,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Double Iron Bash,Superpower,4,5,20,100000
Whiscash,84.3,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Lapras,84.2,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Skull Bash,12,19,5,75000
Feraligatr,83.7,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Forretress (Shadow),83.5,205,bug,steel,110.2,141.6,130,2028758,25,1496,Bug Bite,Rock Tomb,Earthquake,17,22,5,75000
Tinkaton,83.2,959,fairy,steel,107.3,136.3,143,2090037,25.5,1497,Fairy Wind,Play Rough,Bulldoze,7,5,3,75000
Samurott (Shadow),83.1,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Kartana,83,798,grass,steel,170.7,98.8,78,1316087,15,1500,Razor Leaf,Leaf Blade,Night Slash,9,9,20,100000
Dugtrio (Alolan) (Shadow),82.9,51,ground,steel,148.9,111.5,90,1494460,29,1497,Mud Slap,Mud Bomb,Iron Head,4,5,3,50000
Feraligatr (Shadow),82.7,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Cradily,82.5,346,rock,grass,106.3,139,143,2111521,26,1498,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Registeel (Shadow),82.4,379,steel,none,96.1,187.1,130,2337024,23,1498,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Barbaracle,82.1,689,rock,water,120.4,133.1,115,1841752,20.5,1492,Fury Cutter,Cross Chop,Grass Knot,9,13,3,50000
Metang (Shadow),81.8,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Fury Cutter,Psyshock,Gyro Ball,10,15,5,75000
Swampert,81.8,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Marshtomp,81.7,259,water,ground,120.3,108.9,142,1860776,35,1498,Mud Shot,Mud Bomb,Surf,5,6,3,10000
Magnezone,81.5,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Samurott,81.3,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Marshtomp (Shadow),81.1,259,water,ground,121.2,109.9,139,1851275,33.5,1499,Mud Shot,Mud Bomb,Surf,5,6,3,10000
Quagsire,81.1,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Sandslash (Alolan) (Shadow),81.1,28,ice,steel,116.6,132.6,124,1917384,23,1500,Shadow Claw,Ice Punch,Drill Run,5,6,3,50000
Magnezone (Shadow),81,462,electric,steel,134.9,120.1,102,1652719,17,1496,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Klefki,80.9,707,steel,fairy,119,134.2,118,1884790,29.5,1499,Astonish,Foul Play,Play Rough,4,6,3,50000
Genesect,80.8,649,bug,steel,141.1,111.7,100,1575465,16,1498,Fury Cutter,X-Scissor,Techno Blast (Normal),10,14,20,100000
Cradily (Shadow),80.7,346,rock,grass,106.3,139,143,2111521,26,1498,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Swampert (Shadow),80.7,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Metang,80.5,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Fury Cutter,Psyshock,Return,10,18,5,75000
Urshifu (Rapid Strike),80.4,892,fighting,water,136.6,97.8,121,1616195,15,1489,Counter,Aqua Jet,Dynamic Punch,7,8,20,100000
Politoed (Shadow),80,186,water,none,114.7,121.7,140,1954251,23,1498,Mud Shot,Weather Ball (Water),Earthquake,5,9,3,50000
Dewott (Shadow),79.9,502,water,none,124.2,98.6,147,1800321,33.5,1498,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
