Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Marowak,94.8,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Diggersby,92.1,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Whiscash,91.7,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Tinkaton,91.1,959,fairy,steel,107.3,136.3,143,2090037,25.5,1497,Fairy Wind,Play Rough,Iron Head,7,6,3,75000
Dusknoir (Shadow),90.3,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Marowak (Shadow),90.3,105,ground,none,110.8,145,126,2025310,32,1500,Mud Slap,Bone Club,Rock Slide,4,5,3,50000
Whiscash (Shadow),90.1,340,water,ground,107.6,107.6,178,2060545,27,1490,Mud Shot,Mud Bomb,Scald,5,7,1,10000
Sableye,90,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Dazzling Gleam,5,7,5,75000
Sableye (Shadow),89.5,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Dazzling Gleam,5,7,5,75000
Mandibuzz,89.4,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Primeape,88.6,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Primeape (Shadow),88.6,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Clefable,88.5,36,fairy,none,117.2,111.5,146,1908090,23,1499,Fairy Wind,Moonblast,Swift,7,4,1,10000
Dusknoir,88.4,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Malamar,88.3,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psywave,Superpower,Foul Play,10,10,3,50000
Weezing (Galarian) (Shadow),88.1,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Spiritomb,87.5,442,ghost,dark,121.2,146.4,104,1845420,27.5,1498,Sucker Punch,Rock Tomb,Shadow Ball,8,8,5,75000
Stunfisk,87.5,618,ground,electric,101.8,127.9,169,2200089,26.5,1497,Thunder Shock,Mud Bomb,Discharge,5,5,5,75000
Lapras,86.3,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Machamp (Shadow),86.3,68,fighting,none,136.4,97.2,124,1644073,17.5,1497,Karate Chop,Cross Chop,Stone Edge,4,7,3,50000
Lapras (Shadow),86.1,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Marowak (Alolan) (Shadow),86.1,105,fire,ghost,110.8,145,126,2025310,32,1500,Fire Spin,Shadow Bone,Bone Club,5,4,3,50000
Golisopod,86,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Aqua Jet,5,5,1,10000
Dusclops,85.9,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Corviknight,85.8,823,flying,steel,107.6,128.1,151,2082389,23,1498,Sand Attack,Sky Attack,Iron Head,14,13,1,10000
Runerigus,85.8,867,ground,ghost,112.2,168.3,106,2002086,25,1500,Shadow Claw,Rock Tomb,Shadow Ball,7,7,3,50000
Cradily,85.7,346,rock,grass,106.3,139,143,2111521,26,1498,Bullet Seed,Rock Tomb,Grass Knot,4,4,3,50000
Weezing (Galarian),85.6,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Dusclops (Shadow),85.3,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Furret,85.2,162,normal,none,116.1,105.4,158,1933854,34.5,1500,Sucker Punch,Swift,Trailblaze,5,7,1,10000
