Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Cradily,98.1,346,rock,grass,106.3,139,143,2111521,26,1498,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Gligar,97.7,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Gligar (Shadow),96.7,207,ground,flying,108,146.2,130,2052969,30.5,1493,Fury Cutter,Aerial Ace,Dig,10,13,5,75000
Magcargo,95.9,219,fire,rock,110.2,157.9,116,2017737,36.5,1492,Incinerate,Rock Tomb,Overheat,3,3,1,10000
Talonflame,93.7,663,fire,flying,122.1,114.7,131,1834291,25.5,1499,Incinerate,Fly,Brave Bird,3,3,1,10000
Swampert (Shadow),93.5,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Jumpluff (Shadow),92.4,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Acrobatics,5,7,3,50000
Cradily (Shadow),92.3,346,rock,grass,106.3,139,143,2111521,26,1498,Acid,Rock Tomb,Grass Knot,7,7,3,50000
Diggersby,92.3,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Gliscor,92.2,472,ground,flying,115.7,143.9,116,1930695,21,1496,Fury Cutter,Earthquake,Aerial Ace,17,10,5,75000
Clodsire,91.8,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Quagsire (Shadow),91.7,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Quagsire,91.4,195,water,ground,111.3,112,161,2005558,28.5,1494,Mud Shot,Aqua Tail,Stone Edge,5,7,3,50000
Ninetales (Shadow),91.3,38,fire,none,115.1,133.6,126,1936253,24.5,1494,Ember,Weather Ball (Fire),Overheat,5,8,3,50000
Swampert,91.3,260,water,ground,123,108.6,136,1815930,18.5,1498,Mud Shot,Hydro Cannon,Sludge,5,5,3,10000
Furret,91.2,162,normal,none,116.1,105.4,158,1933854,34.5,1500,Sucker Punch,Swift,Brick Break,5,6,1,10000
Skeledirge,91.1,911,fire,ghost,121.2,109.2,139,1839651,18.5,1496,Incinerate,Torch Song,Shadow Ball,3,3,3,10000
Diggersby (Shadow),90.8,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Scorching Sands,Fire Punch,7,5,1,10000
Golurk (Shadow),90.5,623,ground,ghost,133.9,96.7,129,1671084,19.5,1500,Mud Slap,Shadow Punch,Dynamic Punch,4,5,5,75000
Jumpluff,90.2,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Acrobatics,5,7,3,50000
