Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Glalie,95.8,362,ice,none,115.2,120.1,140,1937229,27,1498,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Muk,95.5,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Castform,95.1,351,normal,none,113.4,119.6,146,1979669,38.5,1499,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Dewgong,94.9,87,water,ice,102.9,133.8,158,2174933,29,1500,Ice Shard,Icy Wind,Aqua Jet,5,4,3,50000
Dubwool,94.5,832,normal,none,111,141.7,128,2013564,26,1499,Double Kick,Body Slam,Payback,3,5,3,10000
Slowbro (Galarian),94.4,80,poison,psychic,119.1,108.4,145,1871629,22.5,1493,Poison Jab,Surf,Brutal Swing,7,5,3,50000
Muk (Shadow),93.3,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Barbaracle,93.2,689,rock,water,120.4,133.1,115,1841752,20.5,1492,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Arcanine,93,59,fire,none,132.7,104,122,1683972,18.5,1497,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Oranguru,92.9,765,normal,psychic,110.9,131.2,139,2021720,22.5,1499,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Lunatone,92.6,337,rock,psychic,119.8,108.8,143,1863825,23.5,1494,Psywave,Rock Slide,Psychic,12,14,3,50000
Solrock,92.6,338,rock,psychic,119.8,108.8,143,1863825,23.5,1494,Psywave,Rock Slide,Psychic,12,14,3,50000
Ampharos,92.4,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Ampharos (Shadow),92.1,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Brutal Swing,Thunder Punch,3,3,5,75000
Glalie (Shadow),92,362,ice,none,115.2,120.1,140,1937229,27,1498,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Togetic,91.5,176,fairy,flying,110.6,150,122,2023327,37,1496,Fairy Wind,Dazzling Gleam,Psyshock,7,5,3,50000
Electrode (Shadow),91.2,101,electric,none,123.1,127.2,116,1816610,26.5,1496,Volt Switch,Discharge,Foul Play,3,3,3,50000
Amoonguss,90.3,591,grass,poison,110.4,102,181,2038411,27,1500,Astonish,Foul Play,Sludge Bomb,4,5,3,50000
Samurott (Shadow),90.3,503,water,none,129,102.2,132,1740020,20,1498,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Furfrou,90.2,676,normal,none,116.6,122.9,134,1919933,27,1500,Sucker Punch,Dark Pulse,Surf,8,7,5,75000
Crustle,90,558,bug,rock,120.9,134.1,114,1848465,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Minun,89.8,312,electric,none,116.8,126.8,129,1909761,37,1493,Quick Attack,Thunderbolt,Swift,7,5,3,50000
Venomoth,89.5,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Armaldo (Shadow),89.3,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Cross Poison,10,9,3,50000
Sylveon,89.3,700,fairy,none,118.9,121.2,131,1888899,18.5,1498,Quick Attack,Psyshock,Moonblast,5,8,5,75000
Snorlax,89.1,143,normal,none,108.4,101.7,187,2061936,17.5,1498,Lick,Body Slam,Superpower,12,14,5,75000
Crustle (Shadow),88.8,558,bug,rock,120.9,134.1,114,1848465,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Electrode,88.8,101,electric,none,123.1,127.2,116,1816610,26.5,1496,Volt Switch,Discharge,Foul Play,3,3,3,50000
Grovyle (Shadow),88.8,253,grass,none,137.4,101.7,117,1633904,37.5,1499,Quick Attack,Leaf Blade,Aerial Ace,5,5,3,10000
Vespiquen,88.8,416,bug,flying,109.1,143.3,131,2049009,28.5,1500,Poison Sting,X-Scissor,Power Gem,5,6,3,50000
Venomoth (Shadow),88.6,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Golisopod,88.5,768,bug,water,125.2,133.6,107,1788916,17.5,1498,Shadow Claw,X-Scissor,Aqua Jet,5,5,1,10000
