Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Melmetal,97.5,809,steel,none,121.5,107.8,141,1846977,15.5,1500,Thunder Shock,Superpower,Double Iron Bash,5,4,20,100000
Qwilfish (Hisuian),92.5,211,dark,poison,129.5,111.3,120,1729959,25.5,1497,Poison Sting,Aqua Tail,Dark Pulse,4,6,3,50000
Skuntank,92.5,435,poison,dark,121.7,95.2,157,1819546,23.5,1490,Poison Jab,Crunch,Flamethrower,7,8,3,50000
Perrserker,92.1,863,steel,none,128.9,114.6,117,1728225,23.5,1493,Shadow Claw,Close Combat,Foul Play,6,5,3,50000
Trevenant,91,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Foul Play,Shadow Ball,5,7,5,75000
Qwilfish,90.1,211,water,poison,130.5,105.5,123,1693578,27,1490,Poison Sting,Aqua Tail,Scald,4,6,3,50000
Muk (Alolan),88.3,89,poison,dark,117.3,111.3,146,1906470,20.5,1497,Snarl,Dark Pulse,Sludge Wave,4,5,3,50000
Pawniard,88.3,624,dark,steel,132,107.8,118,1678084,49,1492,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Beedrill,88.2,15,bug,poison,127.6,106.2,129,1749201,31,1494,Poison Jab,X-Scissor,Drill Run,6,7,1,10000
Wormadam (Trash),87.9,413,bug,steel,105.2,150.9,134,2126928,42.5,1500,Bug Bite,Bug Buzz,Iron Head,20,17,1,10000
Cofagrigus,87,563,ghost,none,112.2,168.3,106,2002086,25,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Nidorina,86.2,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Dig,5,6,3,50000
Ariados,85.6,168,bug,poison,124.7,102,141,1793573,34,1497,Poison Sting,Lunge,Megahorn,5,7,1,10000
Scizor,85,212,bug,steel,137.9,110.3,106,1612512,18.5,1497,Bullet Punch,X-Scissor,Night Slash,6,5,5,75000
Ampharos,84.5,181,electric,none,127.4,106.8,129,1754935,19.5,1499,Volt Switch,Thunder Punch,Brutal Swing,3,3,5,75000
Bisharp,83.8,625,dark,steel,139.2,111.5,103,1598638,19.5,1497,Snarl,Dark Pulse,X-Scissor,4,4,5,75000
Electrode,83.7,101,electric,none,123.1,127.2,116,1816610,26.5,1496,Volt Switch,Foul Play,Discharge,3,3,3,50000
Roserade,83.3,407,grass,poison,143.1,114.9,95,1561844,18.5,1497,Poison Sting,Weather Ball (Fire),Dazzling Gleam,4,7,3,50000
Venomoth,83.1,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Crawdaunt,82.6,342,water,dark,144.5,96.9,110,1540695,22.5,1497,Snarl,Night Slash,Scald,3,4,3,50000
Linoone (Galarian),82.5,264,dark,normal,114.6,112.2,152,1953755,39,1497,Snarl,Body Slam,Dig,3,4,1,10000
Haunter,82.3,93,ghost,poison,161.2,85.5,100,1378532,28,1493,Shadow Claw,Ice Punch,Shadow Punch,5,5,3,50000
Mew,82.3,151,psychic,none,120.5,119.4,129,1855163,16.5,1498,Shadow Claw,Wild Charge,Flame Charge,6,7,20,100000
Sandshrew (Alolan),82.3,27,ice,steel,117.6,121,127,1807853,50,1462,Powder Snow,Night Slash,Blizzard,5,10,3,50000
Froslass,82.2,478,ice,ghost,122.6,115.6,128,1813850,27.5,1496,Hex,Avalanche,Shadow Ball,4,5,3,50000
Gengar,81.9,94,ghost,poison,156.6,94.3,97,1433181,19,1500,Shadow Claw,Shadow Punch,Dark Pulse,5,7,3,50000
Lairon,81.9,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Claw,Rock Tomb,Rock Slide,8,7,1,10000
Zoroark,81.4,571,dark,none,157.9,86.9,103,1414071,21,1497,Shadow Claw,Foul Play,Flamethrower,5,7,5,75000
Gourgeist (Large),81.2,711,ghost,grass,116.6,136.9,121,1930877,22.5,1500,Hex,Shadow Ball,Foul Play,5,4,5,75000
Gourgeist (Super),81.2,711,ghost,grass,115.8,128.8,130,1939976,21.5,1499,Hex,Shadow Ball,Foul Play,5,4,5,75000
Pumpkaboo (Super),81.1,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Astonish,Foul Play,Grass Knot,4,5,5,75000
Samurott (Hisuian),80.7,503,water,dark,133.2,95.6,132,1680851,20,1496,Fury Cutter,Icy Wind,Dark Pulse,12,13,3,10000
Klinklang,80.6,601,steel,none,124.9,140.2,102,1785632,21,1494,Thunder Shock,Mirror Shot,Zap Cannon,4,9,5,75000
Gourgeist (Average),80.5,711,ghost,grass,116.6,147,112,1919131,23.5,1500,Hex,Shadow Ball,Foul Play,5,4,5,75000
Frillish,80.2,592,water,ghost,109.2,125.2,135,1846427,50,1421,Hex,Night Shade,Ice Beam,4,5,3,50000
Houndstone,80,972,ghost,none,121,131.2,117,1857323,22.5,1500,Lick,Psychic Fangs,Dig,12,17,3,50000
Oranguru,79.9,765,normal,psychic,110.9,131.2,139,2021720,22.5,1499,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Gallade,79.7,475,psychic,fighting,137.2,114.5,104,1633015,18,1498,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Klang,79.3,600,steel,none,114.1,137,125,1954283,31.5,1494,Thunder Shock,Thunderbolt,Vise Grip,7,5,5,75000
Muk,79.2,89,poison,none,117.3,111.3,146,1906470,20.5,1497,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Gourgeist (Small),79,711,ghost,grass,117,153.4,106,1903085,24.5,1495,Hex,Shadow Ball,Foul Play,5,4,5,75000
Durant,78.9,632,bug,steel,135.9,121.2,100,1647192,21,1499,Metal Claw,X-Scissor,Stone Edge,6,8,3,50000
Farfetch'd (Galarian),78.6,83,fighting,none,137.9,97.8,120,1618657,36.5,1494,Fury Cutter,Brave Bird,Leaf Blade,14,9,3,50000
Pumpkaboo (Large),78.4,710,ghost,grass,113.4,115.1,133,1736900,50,1406,Astonish,Foul Play,Grass Knot,4,5,5,75000
Rapidash (Galarian),78.3,78,psychic,fairy,134.7,110.9,111,1658326,22,1498,Fairy Wind,Body Slam,High Horsepower,4,7,3,50000
Tyranitar,78,248,rock,dark,130.2,109.4,121,1723417,14.5,1498,Smack Down,Brutal Swing,Stone Edge,5,7,5,75000
Sneasel,77.7,215,dark,ice,135.5,110.7,110,1649923,26.5,1499,Ice Shard,Foul Play,Avalanche,4,5,3,50000
Misdreavus,77.5,200,ghost,none,124.1,119,122,1801213,29.5,1498,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Pumpkaboo (Average),77.3,710,ghost,grass,114.3,116,126,1669772,50,1381,Astonish,Foul Play,Grass Knot,4,5,5,75000
Nidorino,76.9,33,poison,none,124.2,103.7,140,1803300,46.5,1500,Poison Sting,Dig,Sludge Bomb,6,6,3,50000
Weezing,76.9,110,poison,none,117,138.9,117,1901382,24.5,1491,Rollout,Shadow Ball,Dark Pulse,5,4,3,50000
Decidueye,76.6,724,grass,ghost,127.8,115.3,118,1739336,20,1492,Astonish,Frenzy Plant,Shadow Sneak,5,5,3,10000
Aron,76.3,304,steel,rock,114.3,131.1,127,1902550,50,1478,Metal Claw,Rock Tomb,Body Slam,8,5,1,10000
Chimecho,76.3,358,psychic,none,120.2,120.2,129,1864669,25,1500,Astonish,Psyshock,Shadow Ball,4,6,5,75000
Cresselia,76,488,psychic,none,93.2,158.3,163,2404853,20,1497,Psycho Cut,Moonblast,Future Sight,7,8,20,100000
Girafarig,75.8,203,normal,psychic,129.1,102.7,129,1711052,27,1486,Double Kick,Psychic Fangs,Thunderbolt,3,5,3,50000
Slowpoke,75.5,79,water,psychic,104.2,95,186,1840271,50,1386,Water Gun,Psyshock,Water Pulse,14,19,3,50000
Pumpkaboo (Small),75.3,710,ghost,grass,115.1,116.8,119,1600115,50,1359,Astonish,Foul Play,Grass Knot,4,5,5,75000
Persian (Alolan),75.2,53,dark,none,123,113.2,131,1823635,33,1498,Feint Attack,Foul Play,Trailblaze,7,8,3,50000
Uxie,75.2,480,psychic,none,102,176.8,122,2200329,22.5,1500,Confusion,Swift,Thunder,3,5,20,100000
Hypno,75,97,psychic,none,103.7,140.8,148,2160673,27.5,1499,Confusion,Shadow Ball,Fire Punch,5,4,3,50000
Shiftry,74.7,275,grass,dark,134.2,87.7,142,1670632,24,1497,Snarl,Leaf Blade,Foul Play,3,4,3,50000
Dhelmise,74.5,781,ghost,grass,139.8,109.3,105,1604674,20,1498,Shadow Claw,Shadow Ball,Power Whip,7,7,5,50000
Weavile,74.5,461,dark,ice,143.1,103.4,106,1568420,18.5,1500,Snarl,Foul Play,Avalanche,4,4,3,50000
Venusaur,74.1,3,grass,poison,122.5,121.9,122,1820851,20,1496,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Metang,73.8,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Metal Claw,Psyshock,Gyro Ball,6,9,5,75000
Slowking,73.1,199,water,psychic,113.4,120.9,143,1961133,22,1493,Water Gun,Surf,Psychic,15,19,3,50000
Ferrothorn,72.8,598,grass,steel,107.3,155.1,125,2080828,24,1498,Bullet Seed,Power Whip,Flash Cannon,4,6,3,75000
Gholdengo,72.6,1000,steel,ghost,135.7,106.2,114,1643435,15.5,1494,Hex,Shadow Ball,Focus Blast,5,6,5,10000
Bronzong,72.5,437,steel,psychic,111.3,151.8,119,2010401,25.5,1498,Confusion,Psyshock,Bulldoze,4,4,3,50000
Slowking (Galarian),72.5,199,poison,psychic,117.9,115.5,139,1893827,20.5,1498,Hex,Surf,Shadow Ball,4,5,3,50000
Starmie,72.4,121,water,psychic,132.2,121.8,104,1675198,21,1488,Psywave,Surf,Power Gem,12,13,3,50000
Bruxish,71.8,779,water,psychic,137.3,100.4,118,1626064,23.5,1497,Water Gun,Aqua Tail,Psychic Fangs,12,12,3,50000
Stakataka,71.7,805,rock,steel,119.4,169.8,92,1865399,16.5,1498,Rock Throw,Stone Edge,Bulldoze,11,9,20,100000
Jirachi,71.4,385,steel,psychic,120.5,119.4,129,1855163,16.5,1498,Confusion,Doom Desire,Psychic,4,5,20,100000
Revavroom,71.3,966,steel,poison,135.7,106.6,114,1648064,19,1499,Poison Jab,Overheat,Gyro Ball,8,9,3,50000
Skrelp,71.2,690,poison,water,104.2,104.2,127,1378846,50,1202,Water Gun,Aqua Tail,Sludge Bomb,12,17,3,50000
